id,streaming_service,type,title,available_countries,listed_in,main_genre,release_year,imdb_rating,imdb_num_votes
e1,Max,Movie,Jarhead,,"Biography, Drama, War",Biography,2005,7,214552
e2,Max,Movie,Unforgiven,,"Drama, Western",Drama,1992,8.2,451533
e3,Max,Movie,Eternal Sunshine of the Spotless Mind,,"Drama, Romance, Sci-Fi",Drama,2004,8.3,1128342
e4,Max,Movie,2001: A Space Odyssey,,"Adventure, Sci-Fi",Adventure,1968,8.3,748463
e5,Max,Movie,Absolute Power,,"Action, Crime, Drama",Action,1997,6.7,62416
e6,Max,Movie,Billy Elliot,,"Drama, Music",Drama,2000,7.7,147447
e7,Max,Movie,American History X,,"Crime, Drama",Crime,1998,8.5,1224909
e8,Max,Movie,Mars Attacks!,,"Comedy, Sci-Fi",Comedy,1996,6.4,251058
e9,Max,Movie,Before Sunrise,,"Drama, Romance",Drama,1995,8.1,356144
e10,Max,Movie,Blade Runner,,"Action, Drama, Sci-Fi",Action,1982,8.1,849531
e11,Max,Movie,Before Sunset,,"Drama, Romance",Drama,2004,8.1,300041
e12,Max,Movie,Nausicaä of the Valley of the Wind,,"Adventure, Animation, Sci-Fi",Adventure,1984,8,189486
e13,Max,Movie,Miami Vice,,"Action, Crime, Drama",Action,2006,6.1,126901
e14,Max,Movie,Gladiator,,"Action, Adventure, Drama",Action,2000,8.5,1743313
e15,Max,Movie,Taxi Driver,,"Crime, Drama",Crime,1976,8.2,970398
e16,Max,Movie,Back to the Future,,"Adventure, Comedy, Sci-Fi",Adventure,1985,8.5,1366617
e17,Max,Movie,Snatch,,"Comedy, Crime",Comedy,2000,8.2,940313
e18,Max,Movie,Three Colors: Blue,,"Drama, Music, Mystery",Drama,1993,7.8,114544
e19,Max,Movie,Three Colors: White,,"Comedy, Drama, Romance",Comedy,1994,7.6,82517
e20,Max,Movie,Three Colors: Red,,"Drama, Mystery, Romance",Drama,1994,8.1,113301
e21,Max,Movie,Pretty Woman,,"Comedy, Romance",Comedy,1990,7.1,382897
e22,Max,Movie,The Big Lebowski,,"Comedy, Crime",Comedy,1998,8.1,885926
e23,Max,Movie,Charlie and the Chocolate Factory,,"Adventure, Comedy, Family",Adventure,2005,6.7,548007
e24,Max,Movie,The Lord of the Rings: The Fellowship of the Ring,,"Adventure, Drama, Fantasy",Adventure,2001,8.9,2092318
e25,Max,Movie,The Lord of the Rings: The Two Towers,,"Adventure, Drama, Fantasy",Adventure,2002,8.8,1859526
e26,Max,Movie,The Lord of the Rings: The Return of the King,,"Adventure, Drama, Fantasy",Adventure,2003,9,2063375
e27,Max,Movie,The Lord of the Rings,,"Adventure, Animation, Fantasy",Adventure,1978,6.2,37632
e28,Max,Movie,Princess Mononoke,,"Adventure, Animation, Fantasy",Adventure,1997,8.3,455332
e29,Max,Movie,Spirited Away,,"Adventure, Animation, Family",Adventure,2001,8.6,900032
e30,Max,Movie,Gimme Shelter,,"Documentary, Music, Thriller",Documentary,1970,7.8,13292
e31,Max,Movie,Primary,,"Documentary, History, News",Documentary,1960,7.1,1573
e32,Max,Movie,Bob Dylan: Dont Look Back,,"Documentary, Music",Documentary,1967,7.9,10569
e33,Max,Movie,Groundhog Day,,"Comedy, Drama, Fantasy",Comedy,1993,8,712280
e34,Max,Movie,Wings of Desire,,"Drama, Fantasy, Romance",Drama,1987,7.9,80409
e35,Max,Movie,"Crouching Tiger, Hidden Dragon",,"Action, Adventure, Drama",Action,2000,7.9,287182
e36,Max,Movie,The 400 Blows,,"Crime, Drama",Crime,1959,8,131020
e37,Max,Movie,The Dark Knight,,"Action, Crime, Drama",Action,2008,9,2996039
e38,Max,Movie,Ocean's Eleven,,"Crime, Thriller",Crime,2001,7.7,641741
e39,Max,Movie,Ocean's Twelve,,"Crime, Thriller",Crime,2004,6.5,424747
e40,Max,Movie,Back to the Future Part II,,"Adventure, Comedy, Sci-Fi",Adventure,1989,7.8,594268
e41,Max,Movie,The Interpreter,,"Crime, Mystery, Thriller",Crime,2005,6.4,112308
e42,Max,Movie,A Clockwork Orange,,"Crime, Sci-Fi",Crime,1971,8.2,906959
e43,Max,Movie,Sin City,,"Crime, Thriller",Crime,2005,8,805395
e44,Max,Movie,Amélie,,"Comedy, Romance",Comedy,2001,8.3,814792
e45,Max,Movie,Back to the Future Part III,,"Adventure, Comedy, Sci-Fi",Adventure,1990,7.5,497604
e46,Max,Movie,Braveheart,,"Biography, Drama, War",Biography,1995,8.3,1123820
e47,Max,Movie,To Be or Not to Be,,"Comedy, Romance, War",Comedy,1942,8.1,46325
e48,Max,Movie,The Wages of Fear,,"Adventure, Drama, Thriller",Adventure,1953,8.1,69703
e49,Max,Movie,North by Northwest,,"Adventure, Drama, Mystery",Adventure,1959,8.3,358758
e50,Max,Movie,Ali: Fear Eats the Soul,,"Drama, Romance",Drama,1974,8,24866
e51,Max,Movie,East of Eden,,Drama,Drama,1955,7.8,50106
e52,Max,Movie,Rebel Without a Cause,,Drama,Drama,1955,7.6,100422
e53,Max,Movie,Berlin: Symphony of Metropolis,,Documentary,Documentary,1927,7.6,4938
e54,Max,Movie,Bride of Frankenstein,,"Drama, Horror, Sci-Fi",Drama,1935,7.8,55551
e55,Max,Movie,Syriana,,"Drama, Thriller",Drama,2005,6.9,136163
e56,Max,Movie,Stand by Me,,"Adventure, Comedy, Drama",Adventure,1986,8.1,460878
e57,Max,Movie,The Godfather,,"Crime, Drama",Crime,1972,9.2,2107434
e57,Max,Movie,The Godfather,,"Crime, Drama",Crime,1972,9.2,2107434
e57,Max,Movie,The Godfather,,"Crime, Drama",Crime,1972,9.2,2107434
e57,Max,Movie,The Godfather,,"Crime, Drama",Crime,1972,9.2,2107434
e57,Max,Movie,The Godfather,,"Crime, Drama",Crime,1972,9.2,2107434
e58,Max,Movie,The Godfather Part II,,"Crime, Drama",Crime,1974,9,1419319
e59,Max,Movie,The Godfather Part III,,"Crime, Drama",Crime,1990,7.6,437228
e60,Max,Movie,About a Boy,,"Comedy, Drama, Romance",Comedy,2002,7.1,195580
e61,Max,Movie,Willy Wonka & the Chocolate Factory,,"Adventure, Comedy, Family",Adventure,1971,7.8,235753
e62,Max,Movie,King Kong,,"Action, Adventure, Romance",Action,2005,7.2,457453
e63,Max,Movie,The 39 Steps,,"Crime, Mystery, Thriller",Crime,1935,7.6,63607
e64,Max,Movie,Batman,,"Action, Adventure",Action,1989,7.5,417728
e65,Max,Movie,Breathless,,"Crime, Drama",Crime,1960,7.7,90701
e66,Max,Movie,Batman Begins,,"Action, Drama",Action,2005,8.2,1635759
